mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,car_name
27.8,4,132.6,47.0,854,19.1,73,3,Car_0
10.0,8,430.7,177.0,2629,8.3,71,1,Car_1
14.3,6,228.8,81.5,1493,16.1,70,1,Car_2
14.9,6,244.6,100.8,1472,13.3,76,3,Car_3
32.5,4,115.4,53.8,761,15.1,80,1,Car_4
31.8,4,137.9,67.4,851,17.9,80,1,Car_5
33.0,4,102.4,40.0,770,18.2,81,1,Car_6
10.0,8,303.7,119.4,1877,11.4,77,2,Car_7
15.2,6,209.7,75.1,1087,16.8,75,1,Car_8
12.0,6,231.6,84.4,1587,14.8,73,3,Car_9
30.2,4,143.4,55.1,780,18.9,75,1,Car_10
10.0,8,415.6,169.9,2498,9.1,72,1,Car_11
10.0,8,402.5,170.1,2424,9.2,81,1,Car_12
27.3,4,146.5,50.6,1073,16.3,77,1,Car_13
27.2,4,146.5,73.5,652,17.6,79,2,Car_14
33.0,4,120.1,45.3,1121,18.7,82,3,Car_15
32.3,4,124.2,49.5,897,17.6,82,3,Car_16
16.5,6,244.5,90.3,1542,14.9,71,2,Car_17
28.4,4,100.5,16.0,617,18.6,74,3,Car_18
27.8,4,103.0,50.0,673,18.5,70,3,Car_19
15.9,6,221.4,95.9,1435,13.1,75,3,Car_20
27.9,4,132.7,50.3,900,16.4,71,1,Car_21
26.5,4,135.4,54.8,906,15.8,73,1,Car_22
26.0,4,135.3,59.3,849,18.6,75,1,Car_23
35.2,4,86.4,18.9,512,19.7,79,2,Car_24
22.2,6,180.3,66.8,1100,18.5,80,1,Car_25
30.7,4,84.0,41.6,498,18.0,77,1,Car_26
33.9,4,118.5,34.8,871,17.2,81,3,Car_27
18.9,6,217.6,90.0,1420,13.5,77,3,Car_28
30.5,4,142.1,43.3,528,20.0,80,3,Car_29
16.8,6,204.2,86.4,1345,14.9,75,1,Car_30
32.1,4,88.2,34.9,570,18.5,73,2,Car_31
30.3,4,90.0,19.9,556,20.6,77,1,Car_32
10.0,8,341.1,148.1,2068,10.8,82,1,Car_33
10.0,8,447.6,171.7,2910,9.6,77,1,Car_34
10.0,8,361.4,136.5,2354,12.8,79,1,Car_35
26.9,4,85.9,36.4,440,18.7,70,1,Car_36
30.9,4,129.1,63.1,849,15.4,73,3,Car_37
15.0,6,214.9,75.8,1216,15.4,73,1,Car_38
28.1,4,137.5,55.6,687,17.9,76,2,Car_39
29.0,4,129.4,56.1,727,16.4,80,1,Car_40
31.2,4,85.7,41.2,635,17.6,76,1,Car_41
37.0,4,85.9,36.1,647,19.5,82,1,Car_42
10.0,8,371.0,144.7,2362,10.4,80,1,Car_43
33.5,4,106.2,34.2,745,19.3,77,2,Car_44
17.5,6,226.4,91.4,1466,13.8,80,1,Car_45
25.0,4,136.9,44.0,772,18.2,74,1,Car_46
11.3,6,247.3,69.7,1585,15.3,76,1,Car_47
22.1,6,190.4,80.5,1277,16.6,77,1,Car_48
26.8,4,132.7,62.1,913,18.3,78,3,Car_49
10.0,8,414.2,142.0,2710,8.4,72,1,Car_50
14.5,6,249.8,89.8,1634,13.7,72,2,Car_51
10.0,8,319.7,134.1,2024,9.5,73,2,Car_52
10.0,8,304.9,142.5,2019,9.8,74,3,Car_53
20.3,6,184.7,74.1,1142,16.0,79,3,Car_54
10.0,8,392.5,149.7,2328,8.3,70,2,Car_55
34.5,4,87.8,33.3,525,18.2,76,2,Car_56
33.2,4,114.5,59.5,620,16.0,78,3,Car_57
34.3,4,80.8,25.9,420,20.2,77,1,Car_58
30.2,4,112.8,37.1,682,19.1,74,1,Car_59
35.4,4,83.9,28.7,425,18.8,73,1,Car_60
33.8,4,88.3,25.8,511,20.1,81,3,Car_61
10.0,8,330.1,133.3,1819,10.7,76,3,Car_62
29.3,4,125.4,66.4,803,16.4,74,1,Car_63
33.1,4,132.2,56.1,820,19.5,76,2,Car_64
16.5,6,211.7,82.2,1215,17.0,81,1,Car_65
24.2,4,147.4,56.0,993,16.0,70,1,Car_66
10.0,8,419.6,152.2,2714,10.8,70,3,Car_67
32.6,4,100.0,48.8,427,19.1,79,1,Car_68
10.0,8,368.3,146.5,2192,8.9,82,1,Car_69
19.6,6,190.9,74.5,1091,17.0,72,2,Car_70
34.2,4,147.4,,801,16.6,80,2,Car_71
34.6,3,69.8,30.9,533,18.2,71,1,Car_72
10.0,8,372.0,141.3,2283,9.6,71,2,Car_73
13.8,6,206.1,78.2,1246,17.0,76,1,Car_74
20.7,6,199.0,91.1,993,15.0,81,1,Car_75
18.9,6,225.1,91.2,1472,15.4,79,1,Car_76
26.9,4,149.5,45.4,778,18.8,71,2,Car_77
33.6,4,85.2,43.3,535,19.0,80,1,Car_78
27.1,4,118.8,40.8,770,17.1,73,3,Car_79
10.0,8,372.1,167.6,2470,9.9,71,3,Car_80
17.5,6,226.1,101.3,1245,15.3,75,3,Car_81
32.6,4,124.1,45.1,407,18.1,77,1,Car_82
26.4,4,128.7,64.3,820,16.8,79,3,Car_83
31.9,4,111.8,45.4,909,16.5,73,1,Car_84
29.3,4,123.9,58.1,917,18.0,74,1,Car_85
21.0,6,181.4,77.4,1150,16.5,73,1,Car_86
14.4,6,187.3,66.5,1102,16.6,72,1,Car_87
10.0,8,383.9,147.1,2477,11.6,74,2,Car_88
31.8,4,99.7,50.2,501,17.6,78,1,Car_89
28.7,4,146.5,55.3,966,18.3,77,1,Car_90
22.0,6,196.7,74.6,1280,14.8,77,2,Car_91
20.1,6,187.0,65.2,1286,16.8,77,1,Car_92
18.0,6,197.0,83.0,1553,15.1,81,2,Car_93
13.1,6,230.6,112.8,1477,13.2,77,1,Car_94
