序号,所用时间,1.您的性别,2.您的年级,3.您的生源地,4.您的月生活费,5.您进行过绿色低碳的相关生活方式吗?,6.您觉得“低碳”，与你的生活关系密切吗？,7.低碳生活是否会成为未来的主流生活方式？,8.您是否认为低碳生活会提高您的生活质量？,9.进行低碳生活对我来说很方便,10.我有多余的时间和精力进行低碳生活,11.学校/社区提供了足够的低碳设施,12.我认为个人行动能为低碳做贡献,13.我有机会执行低碳生活,我有足够知识进行低碳生活,14.我打算以后…—减少使用一次性产品,合理处理生活中的废弃物,在日常生活中会进行垃圾分类,尽可能劝说周围的人进行低碳生活,15.日常生活中，我会......—对垃圾进行分类,重复利用废旧物品,避免使用一次性产品,劝说周围的人进行低碳生活
1,317秒,2,3,2,4,1,2,2,3,3,4,3,5,2,5,2,3,2,2,3,1,3,2
2,342秒,2,3,3,3,1,3,5,3,4,3,2,5,5,4,2,2,2,2,1,2,2,1
3,137秒,2,2,1,3,1,4,3,2,3,1,3,2,2,2,3,2,2,3,3,1,2,2
4,393秒,1,2,1,3,1,5,4,2,2,3,4,5,4,4,3,2,1,2,2,3,3,2
5,89秒,1,1,3,4,1,4,4,3,2,3,4,1,4,4,4,3,3,2,2,2,3,4
6,176秒,2,2,3,2,1,4,3,4,5,4,4,2,5,4,2,2,3,3,2,3,3,3
7,88秒,1,2,4,3,1,3,1,4,3,1,4,4,4,2,5,4,3,3,3,3,2,3
8,190秒,2,2,2,3,1,3,3,4,2,3,3,3,5,3,3,2,3,3,3,1,2,2
9,265秒,1,3,4,2,2,4,4,4,4,4,4,4,2,3,2,3,3,2,3,2,4,4
10,87秒,2,3,3,1,1,3,1,3,3,5,2,3,3,4,4,4,3,3,3,3,3,3
11,309秒,2,4,2,4,2,4,5,3,4,3,3,3,3,2,5,2,4,2,2,3,3,2
12,323秒,2,3,1,4,2,4,5,4,4,3,4,2,4,4,4,2,3,3,4,4,3,4
13,156秒,2,4,1,1,1,2,3,3,3,4,3,4,3,4,3,2,3,2,2,3,3,2
14,195秒,1,2,3,1,2,5,5,4,3,4,1,4,4,2,5,5,4,3,5,4,3,3
15,171秒,2,4,4,1,2,2,3,5,3,2,3,4,4,4,1,2,1,2,1,2,3,1
16,364秒,2,3,2,3,2,4,3,3,4,1,2,3,1,2,4,4,2,2,3,3,3,3
17,354秒,2,1,3,3,1,3,5,5,4,4,1,3,3,3,3,2,3,3,2,2,3,2
18,85秒,1,4,2,2,1,4,5,3,4,3,2,2,3,2,4,3,4,3,3,3,4,3
19,384秒,1,2,2,3,2,3,3,4,5,4,3,2,3,2,2,1,1,1,2,2,2,1
20,172秒,2,1,4,3,2,1,3,2,3,4,3,3,3,4,1,1,1,1,1,1,1,1
21,376秒,1,1,1,1,2,4,5,2,4,3,3,4,3,4,3,1,2,2,2,1,2,1
22,77秒,2,3,2,4,2,2,4,4,2,5,3,3,4,3,3,3,2,2,3,3,3,3
23,310秒,1,2,2,3,1,1,3,5,4,3,4,4,2,3,4,3,4,3,4,4,3,3
24,261秒,1,2,4,2,1,5,2,4,5,3,2,4,2,4,3,3,3,3,3,3,2,1
25,176秒,2,3,4,4,1,3,4,4,4,3,2,3,4,4,3,3,3,3,2,3,3,3
26,107秒,2,4,2,4,1,1,5,5,2,1,3,4,3,4,5,5,4,5,4,4,4,4
27,208秒,2,3,2,2,1,5,4,5,4,3,2,3,2,4,3,1,2,2,3,1,2,3
28,386秒,1,4,1,2,2,4,4,4,3,3,3,4,5,1,4,4,3,3,3,4,2,2
29,309秒,1,4,1,3,2,3,4,4,4,3,3,4,3,3,5,4,4,4,4,3,5,3
30,356秒,2,1,1,4,1,3,3,4,4,3,3,5,3,5,2,2,2,2,3,3,2,2
31,305秒,1,2,2,2,2,4,4,4,3,2,4,3,4,4,3,5,4,2,2,3,2,2
32,63秒,2,3,1,2,1,1,4,4,3,4,3,2,2,4,2,2,2,2,2,1,1,1
33,352秒,2,1,3,2,2,2,3,3,4,5,4,3,4,4,4,3,5,3,3,4,4,3
34,197秒,2,4,1,2,2,3,2,4,5,5,2,4,3,2,5,4,5,4,5,4,4,4
35,212秒,1,3,3,2,1,4,5,3,3,3,3,5,3,3,4,3,4,3,3,3,3,3
36,109秒,2,4,3,1,1,5,3,2,3,2,4,3,3,4,3,2,2,1,4,2,1,2
37,286秒,1,1,2,3,2,4,4,5,3,5,4,5,4,5,4,4,5,3,3,3,4,4
38,351秒,1,3,3,2,2,4,4,3,3,3,3,5,4,4,2,2,3,1,2,1,2,1
39,276秒,1,3,2,2,1,3,3,5,4,4,2,5,2,4,2,2,2,2,3,4,2,3
40,219秒,2,4,4,3,1,3,5,4,3,2,2,4,4,4,4,4,4,4,4,4,4,3
41,371秒,1,3,1,2,1,5,2,4,4,5,4,4,4,3,5,3,4,3,3,3,3,4
42,319秒,1,1,2,4,2,4,4,4,5,5,4,3,3,2,3,2,2,2,3,3,2,2
43,133秒,2,3,2,4,2,3,3,2,4,4,2,2,2,2,4,3,2,2,2,2,2,2
44,354秒,2,1,3,4,2,4,3,5,4,3,5,3,2,1,4,5,4,3,3,3,3,3
45,348秒,1,3,4,2,1,3,2,5,5,4,2,2,4,2,3,2,3,2,3,3,4,2
46,161秒,2,3,2,2,1,4,4,4,3,2,1,3,3,2,1,2,2,1,2,3,2,2
47,118秒,1,2,1,2,1,3,4,3,3,1,4,4,2,3,2,3,2,1,2,3,2,4
48,82秒,2,2,3,2,1,5,3,5,3,4,3,5,3,2,3,2,2,3,2,2,1,2
49,139秒,1,2,3,2,2,2,4,3,4,4,4,2,3,2,2,2,3,2,2,2,2,1
50,135秒,2,2,3,3,2,3,4,4,3,3,3,2,4,3,4,3,5,3,3,3,2,2
51,199秒,1,2,3,3,1,4,4,4,4,2,2,5,4,4,3,3,2,4,3,3,2,3
52,311秒,2,2,1,2,1,5,3,2,2,3,1,3,2,3,4,3,4,4,4,4,3,3
53,74秒,1,2,2,3,2,2,2,5,2,3,3,3,3,4,5,4,4,4,5,5,4,5
54,348秒,1,2,2,1,2,3,5,3,3,5,2,5,4,4,3,2,3,3,4,4,3,2
55,254秒,2,3,3,1,2,3,5,3,5,3,4,4,3,2,3,3,4,3,4,3,4,4
56,336秒,1,2,4,2,1,4,3,3,3,2,3,2,2,5,2,3,3,3,3,3,3,3
57,377秒,2,3,2,1,2,5,1,2,4,4,4,5,5,1,4,2,2,2,2,3,2,3
58,224秒,1,2,2,3,2,3,5,3,1,3,2,4,2,1,2,3,2,3,3,2,2,2
59,348秒,1,1,1,2,2,3,4,3,4,2,4,3,2,3,1,1,1,1,1,1,2,1
60,272秒,1,4,2,3,2,5,2,3,3,2,2,5,3,2,4,3,3,4,3,3,3,2
61,221秒,2,3,4,2,2,4,3,1,3,4,2,3,3,3,2,2,3,2,2,3,2,3
